epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.87996346,0.9511391,6699.0,6699.0,0.28285075375519764,0.87996346,0.87996346,49109.0,49109.0
1,0.9570671,0.991254,2396.0,2396.0,0.11878179023982188,0.9570671,0.9570671,53412.0,53412.0
2,0.9675674,0.99507785,1810.0,1810.0,0.08829428204292551,0.9675674,0.9675674,53998.0,53998.0
3,0.9749319,0.99675107,1399.0,1399.0,0.07022660721195947,0.9749319,0.9749319,54409.0,54409.0
4,0.9804329,0.99792045,1092.0,1092.0,0.05496166434583314,0.9804329,0.9804329,54716.0,54716.0
5,0.98337156,0.9984087,928.0,928.0,0.04700485992869106,0.98337156,0.98337156,54880.0,54880.0
6,0.98639977,0.99889404,759.0,759.0,0.039000208378521674,0.98639977,0.98639977,55049.0,55049.0
7,0.98901594,0.9991809,613.0,613.0,0.03230505206818701,0.98901594,0.98901594,55195.0,55195.0
8,0.9904673,0.99932456,532.0,532.0,0.028399100108499373,0.9904673,0.9904673,55276.0,55276.0
9,0.991202,0.9994633,491.0,491.0,0.025585319103519303,0.991202,0.991202,55317.0,55317.0
10,0.993173,0.999658,381.0,381.0,0.020501094524227423,0.993173,0.993173,55427.0,55427.0
11,0.9947678,0.999647,292.0,292.0,0.016729042506477703,0.9947678,0.9947678,55516.0,55516.0
12,0.9962013,0.9998174,212.0,212.0,0.012947860225146516,0.9962013,0.9962013,55596.0,55596.0
13,0.9964163,0.99982244,200.0,200.0,0.01201397580427861,0.9964163,0.9964163,55608.0,55608.0
14,0.9964342,0.9998775,199.0,199.0,0.011042041001294594,0.9964342,0.9964342,55609.0,55609.0
15,0.99763477,0.9999362,132.0,132.0,0.008537857388487991,0.99763477,0.99763477,55676.0,55676.0
16,0.99688214,0.99989396,174.0,174.0,0.009378345328630931,0.99688214,0.99688214,55634.0,55634.0
17,0.9966851,0.99981755,185.0,185.0,0.010100912298460345,0.9966851,0.9966851,55623.0,55623.0
18,0.99736595,0.9999437,147.0,147.0,0.008136774428240066,0.99736595,0.99736595,55661.0,55661.0
19,0.99752724,0.99993277,138.0,138.0,0.007628413507877208,0.99752724,0.99752724,55670.0,55670.0
20,0.99813646,0.99995816,104.0,104.0,0.006385859870992669,0.99813646,0.99813646,55704.0,55704.0
21,0.9978319,0.999922,121.0,121.0,0.006703429895991443,0.9978319,0.9978319,55687.0,55687.0
22,0.9974735,0.99995005,141.0,141.0,0.007385477308320616,0.9974735,0.9974735,55667.0,55667.0
23,0.9982798,0.99996096,96.0,96.0,0.006097390074517851,0.9982798,0.9982798,55712.0,55712.0
24,0.99819386,0.999944,91.0,91.0,0.005680494544143261,0.99819386,0.99819386,50292.0,50292.0
