epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.9359781,0.85296977,629.0,2.0,1.8371106413277714,0.97402596,0.10653409,9150.0,75.0
1,0.9580965,0.96269685,385.0,28.0,1.082408299500292,0.91930836,0.453125,9124.0,319.0
2,0.9713878,0.9822718,256.0,26.0,0.7831514376130971,0.9451477,0.6363636,9126.0,448.0
3,0.97767866,0.9889474,188.0,32.0,0.6355560598048297,0.94160587,0.73295456,9120.0,516.0
4,0.9849837,0.99501765,121.0,27.0,0.4393045495856892,0.9557377,0.828125,9125.0,583.0
5,0.98711437,0.99569017,99.0,28.0,0.3841865706172856,0.9557662,0.859375,9124.0,605.0
6,0.9899552,0.99781716,76.0,23.0,0.3228940113701604,0.96466976,0.89204544,9129.0,628.0
7,0.9931005,0.99850225,48.0,20.0,0.24073510413820093,0.9704142,0.9318182,9132.0,656.0
8,0.9951298,0.9987702,30.0,18.0,0.19384373284199022,0.9739884,0.9573864,9134.0,674.0
9,0.9962458,0.9992921,24.0,13.0,0.16597344760190358,0.981241,0.96590906,9139.0,680.0
10,0.99624574,0.99934304,23.0,14.0,0.14201826576820828,0.97985613,0.96732956,9138.0,681.0
11,0.99665165,0.9995332,21.0,12.0,0.12428230258890173,0.9827338,0.97017044,9140.0,683.0
12,0.9967533,0.99968034,19.0,13.0,0.11807565729726445,0.98137534,0.9730114,9139.0,685.0
13,0.9976664,0.9998033,15.0,8.0,0.10361018903892148,0.98852223,0.9786932,9144.0,689.0
14,0.99726045,0.9998416,14.0,13.0,0.09287350629033013,0.98150784,0.9801136,9139.0,690.0
15,0.998681,0.9999568,7.0,6.0,0.0625604224306616,0.99146515,0.9900568,9146.0,697.0
16,0.99685454,0.9998255,16.0,15.0,0.08385044628415596,0.97866285,0.97727275,9137.0,688.0
17,0.9977677,0.9998964,12.0,10.0,0.06208607545969161,0.98575497,0.98295456,9142.0,692.0
18,0.9975649,0.9999483,13.0,11.0,0.0621939518658275,0.9843305,0.98153406,9141.0,691.0
19,0.99898547,0.9999332,6.0,4.0,0.04737435903569514,0.994302,0.99147725,9148.0,698.0
20,0.9987825,0.9999698,7.0,5.0,0.04750900410793044,0.9928775,0.9900568,9147.0,697.0
21,0.9965503,0.9997992,21.0,13.0,0.09642674625766548,0.9813218,0.97017044,9139.0,683.0
22,0.9951298,0.99850214,30.0,18.0,0.14676281124014745,0.9739884,0.9573864,9134.0,674.0
23,0.9978356,0.99992937,1.0,0.0,0.08998886540983662,1.0,0.969697,429.0,32.0
