epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.9248674,0.97929996,4193.0,4193.0,0.1850460541494396,0.9248674,0.9248674,51615.0,51615.0
1,0.96649224,0.9949602,1870.0,1870.0,0.08884380874010402,0.96649224,0.96649224,53938.0,53938.0
2,0.9742331,0.9965804,1438.0,1438.0,0.0703317130650949,0.9742331,0.9742331,54370.0,54370.0
3,0.9789815,0.997476,1173.0,1173.0,0.05797858982252965,0.9789815,0.9789815,54635.0,54635.0
4,0.98238605,0.99810153,983.0,983.0,0.04984797680870109,0.98238605,0.98238605,54825.0,54825.0
5,0.98435706,0.9983686,873.0,873.0,0.04462453517037521,0.98435706,0.98435706,54935.0,54935.0
6,0.98722404,0.99870276,713.0,713.0,0.036772579945828936,0.98722404,0.98722404,55095.0,55095.0
7,0.9887471,0.99908876,628.0,628.0,0.03143245249200578,0.9887471,0.9887471,55180.0,55180.0
8,0.98991185,0.9991953,563.0,563.0,0.028610954684880348,0.98991185,0.98991185,55245.0,55245.0
9,0.9906465,0.9992793,522.0,522.0,0.02686441616249194,0.9906465,0.9906465,55286.0,55286.0
10,0.9920262,0.9993732,445.0,445.0,0.023507021474352945,0.9920262,0.9920262,55363.0,55363.0
11,0.99328053,0.99955744,375.0,375.0,0.01978428361493103,0.99328053,0.99328053,55433.0,55433.0
12,0.99331635,0.9995696,373.0,373.0,0.019108800738708142,0.99331635,0.99331635,55435.0,55435.0
13,0.9948753,0.9996169,286.0,286.0,0.01550290596440708,0.9948753,0.9948753,55522.0,55522.0
14,0.99466026,0.99967957,298.0,298.0,0.015501991946062227,0.99466026,0.99466026,55510.0,55510.0
15,0.99449897,0.9996945,307.0,307.0,0.014613870529184511,0.99449897,0.99449897,55501.0,55501.0
16,0.99503654,0.99975675,277.0,277.0,0.014650696839436615,0.99503654,0.99503654,55531.0,55531.0
17,0.9959146,0.9997786,228.0,228.0,0.012459196962006048,0.9959146,0.9959146,55580.0,55580.0
18,0.9958429,0.9997769,232.0,232.0,0.011500578403575431,0.9958429,0.9958429,55576.0,55576.0
19,0.99629086,0.9998283,207.0,207.0,0.011317416722245446,0.99629086,0.99629086,55601.0,55601.0
20,0.9960579,0.99987304,220.0,220.0,0.011031302157789469,0.9960579,0.9960579,55588.0,55588.0
21,0.9963446,0.9997403,204.0,204.0,0.010508157150529393,0.9963446,0.9963446,55604.0,55604.0
22,0.99650586,0.99988085,195.0,195.0,0.010242544283338506,0.99650586,0.99650586,55613.0,55613.0
23,0.99666715,0.9998368,186.0,186.0,0.009643469547314586,0.99666715,0.99666715,55622.0,55622.0
24,0.9968045,0.99986196,161.0,161.0,0.009686544940033537,0.9968045,0.9968045,50222.0,50222.0
