epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.923194,0.60378516,646.0,111.0,66.54681838642468,0.34319526,0.08238637,9041.0,58.0
1,0.93242687,0.662407,509.0,157.0,32.815568295392126,0.55397725,0.27698863,8995.0,195.0
2,0.93749994,0.689489,444.0,172.0,19.017872647805646,0.6018519,0.3693182,8980.0,260.0
3,0.9409496,0.72495383,396.0,186.0,14.633236007256942,0.6234818,0.4375,8966.0,308.0
4,0.93892044,0.73475784,375.0,227.0,11.59197106144645,0.5917266,0.46732953,8925.0,329.0
5,0.94632715,0.77752274,341.0,188.0,9.71124792098999,0.65880215,0.515625,8964.0,363.0
6,0.9478491,0.78540266,332.0,182.0,7.320686676285484,0.6714801,0.52840906,8970.0,372.0
7,0.9507914,0.8175176,312.0,173.0,6.3038902499459,0.69380534,0.5568182,8979.0,392.0
8,0.94866085,0.8213396,310.0,196.0,6.16159745238044,0.6677966,0.55965906,8956.0,394.0
9,0.95444393,0.8556599,278.0,171.0,4.819105012850328,0.71356785,0.6051136,8981.0,426.0
10,0.95799524,0.88485706,260.0,154.0,4.153375360098752,0.7424749,0.6306818,8998.0,444.0
11,0.9601257,0.89301145,247.0,146.0,3.496525910767642,0.7578773,0.64914775,9006.0,457.0
12,0.9596186,0.9010191,251.0,147.0,3.041029071266001,0.755,0.64346594,9005.0,453.0
13,0.96367687,0.9162043,240.0,118.0,2.548178968104449,0.79725087,0.65909094,9034.0,464.0
14,0.9641842,0.9117654,243.0,110.0,2.026920202103528,0.8073555,0.65482956,9042.0,461.0
15,0.9669237,0.93431884,228.0,98.0,1.8914041559804569,0.8292683,0.6761364,9054.0,476.0
16,0.9684457,0.9302151,229.0,82.0,1.5700028213587673,0.8527828,0.67471594,9070.0,475.0
17,0.96732944,0.93896407,242.0,80.0,1.4574140391566537,0.8523985,0.65625,9072.0,462.0
18,0.97108364,0.9380862,215.0,70.0,1.330091411417181,0.87477636,0.69460225,9082.0,489.0
19,0.9721995,0.94404095,210.0,64.0,1.1429719112136147,0.88530463,0.70170456,9088.0,494.0
20,0.9755478,0.94170845,175.0,66.0,1.0145731974731793,0.88907564,0.75142044,9086.0,529.0
21,0.97443175,0.94248927,171.0,81.0,1.0323604751716962,0.8680782,0.75710225,9071.0,533.0
22,0.9780842,0.94620085,147.0,69.0,0.9109483523802324,0.88977635,0.7911932,9083.0,557.0
23,0.991342,0.99120563,4.0,0.0,0.8417759808627042,1.0,0.8787879,429.0,29.0
