epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.907,0.9387225,1374.0,486.0,0.7076551462411881,0.84383035,0.6565,15514.0,2626.0
1,0.9504002,0.979419,633.0,359.0,0.39867515099048617,0.90365005,0.84175,15641.0,3367.0
2,0.96135,0.98922735,482.0,291.0,0.29262089931964874,0.923602,0.8795,15709.0,3518.0
3,0.9669501,0.99178964,391.0,270.0,0.25562394452095033,0.9303944,0.90225,15730.0,3609.0
4,0.97379994,0.99488485,311.0,213.0,0.19728640699386596,0.94541264,0.92225,15787.0,3689.0
5,0.9797998,0.99656427,241.0,163.0,0.1599120609164238,0.9584396,0.93975,15837.0,3759.0
6,0.98425025,0.99783355,184.0,131.0,0.13160207337141036,0.9668102,0.954,15869.0,3816.0
7,0.98550016,0.99834734,163.0,127.0,0.11006508684158325,0.96796167,0.95925,15873.0,3837.0
8,0.98639995,0.99848366,148.0,124.0,0.10416772039234638,0.9688129,0.963,15876.0,3852.0
9,0.9876503,0.9984101,135.0,112.0,0.09406887973099946,0.97183806,0.96625,15888.0,3865.0
10,0.99035025,0.99904794,105.0,88.0,0.07739955038577319,0.9779061,0.97375,15912.0,3895.0
11,0.98905015,0.99899846,121.0,98.0,0.08255025401711463,0.9753583,0.96975,15902.0,3879.0
12,0.98965037,0.99914604,114.0,93.0,0.0779702725932002,0.9766273,0.9715,15907.0,3886.0
13,0.99265033,0.9990877,78.0,69.0,0.06056384719163179,0.9827111,0.9805,15931.0,3922.0
14,0.9933502,0.9996408,71.0,62.0,0.051227647945284845,0.98446506,0.98225,15938.0,3929.0
15,0.99550027,0.99982405,48.0,42.0,0.038445773052051664,0.98948425,0.988,15958.0,3952.0
16,0.99295014,0.999532,79.0,62.0,0.05132291117310524,0.9844338,0.98025,15938.0,3921.0
17,0.9920002,0.99929786,84.0,76.0,0.05803909217193723,0.9809619,0.979,15924.0,3916.0
18,0.9948503,0.9998152,55.0,48.0,0.03870940522104502,0.98797894,0.98625,15952.0,3945.0
19,0.9927005,0.9996663,79.0,67.0,0.049015811871737244,0.9831996,0.98025,15933.0,3921.0
20,0.9933502,0.9996887,69.0,64.0,0.04865211112052202,0.98398,0.98275,15936.0,3931.0
21,0.9904004,0.9989561,101.0,91.0,0.06958701333403587,0.977193,0.97475,15909.0,3899.0
22,0.9935004,0.9995046,69.0,61.0,0.05640054030716419,0.98471946,0.98275,15939.0,3931.0
23,0.9959003,0.9998659,43.0,39.0,0.031134069012477995,0.9902402,0.98925,15961.0,3957.0
24,0.9966503,0.99978,36.0,31.0,0.026959864096716045,0.9922403,0.991,15969.0,3964.0
